word,label
active,male
adventurous,male
affectionate,female
aggress,male
agree,female
ambitio,male
analy,male
analysis,male
analytical,male
anchorman,male
assemblyman,male
assert,male
athlet,male
autonom,male
battle,male
boast,male
boy,male
businessman,male
cameraman,male
chairman,male
challeng,male
champion,male
cheer,female
child,female
clergyman,male
collab,female
collaborate,female
collaboration,female
commit,female
committed,female
communal,female
compassion,female
compet,male
competitive,male
confident,male
congressman,male
connect,female
considerate,female
construction man,male
cooperat,female
co-operat,female
councilman,male
courag,male
craftsman,male
crewman,male
decid,male
decision,male
decisions,male
decisive,male
defend,male
depend,female
determin,male
determined,male
domina,male
dominant,male
dominate,male
doorman,male
driven,male
emotiona,female
empath,female
enthusias,female
expert,male
fearless,male
feel,female
fight,male
fireman,male
flatterable,female
force,male
foreman,male
garbage man,male
gentle,female
greedy,male
hacker,male
handyman,male
headstrong,male
head-strong,male
her,female
hierarch,male
him,male
his,male
honest,female
hostil,male
impulsive,male
inclusive,female
independen,male
individual,male
intellect,male
interdependen,female
inter-dependen,female
interpersona,female
inter-persona,female
interpersonal,female
inter-personal,female
kind,female
kinship,female
lead,male
logic,male
longshoreman,male
loyal,female
mailman,male
maintenance man,male
mankind,male
men,male
modesty,female
nag,female
ninja,male
nurtur,female
objective,male
objectives,male
opinion,male
outspoken,male
patrolman,male
persist,male
pizza man,male
pleasant,female
policeman,male
polite,female
principle,male
principles,male
quiet,female
reckless,male
respon,female
responsible,female
rockstar,male
salesman,male
selfconfiden,male
self-confiden,male
selfrelian,male
self-relian,male
selfsufficien,male
self-sufficien,male
sensitiv,female
share,female
sharin,female
she,female
strong,male
stubborn,male
stuntman,male
submissive,female
superior,male
support,female
sympath,female
tender,female
together,female
trust,female
understand,female
understanding,female
unreasonab,male
warm,female
weatherman,male
whin,female
woman,female
women,female
yield,female
